"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 20:21:16 UTC 2023","Mon Feb 13 20:21:30 UTC 2023","13657","","Login page","","","","(Log In) with not valid password",""
"passed","Mon Feb 13 20:20:58 UTC 2023","Mon Feb 13 20:21:16 UTC 2023","17877","","Login page","","","","(Log In) with not valid email",""
"passed","Mon Feb 13 20:23:33 UTC 2023","Mon Feb 13 20:23:47 UTC 2023","13836","","Test cases","","","","(Sign Up) with not valid *password*",""
"passed","Mon Feb 13 20:24:08 UTC 2023","Mon Feb 13 20:24:26 UTC 2023","18825","","Talk Expert page","","","","(Expert page) all valid input fields",""
"passed","Mon Feb 13 20:22:26 UTC 2023","Mon Feb 13 20:22:32 UTC 2023","5564","","Main page","","","","(Check element is visible)",""
"passed","Mon Feb 13 20:22:21 UTC 2023","Mon Feb 13 20:22:26 UTC 2023","5244","","Main page","","","","(Scroll and assert bottom title)",""
"passed","Mon Feb 13 20:22:10 UTC 2023","Mon Feb 13 20:22:21 UTC 2023","10127","","Main page","","","","(Assert main-menu)",""
"passed","Mon Feb 13 20:21:30 UTC 2023","Mon Feb 13 20:21:46 UTC 2023","15930","","Login page","","","","(Log In) with did click on check box",""
"passed","Mon Feb 13 20:20:29 UTC 2023","Mon Feb 13 20:20:58 UTC 2023","29889","","Login page","","","","(Log In) all valid *log in* page",""
"passed","Mon Feb 13 20:22:50 UTC 2023","Mon Feb 13 20:23:07 UTC 2023","16212","","Test cases","","","","(Sign Up) all valid *sign up* page",""
"passed","Mon Feb 13 20:23:07 UTC 2023","Mon Feb 13 20:23:20 UTC 2023","13171","","Test cases","","","","(Sign Up) with not valid *email*",""
"passed","Mon Feb 13 20:23:20 UTC 2023","Mon Feb 13 20:23:33 UTC 2023","13004","","Test cases","","","","(Sign Up) with not valid *full name*",""
